OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00001,0.007657,0.000349,0.004177,0.30277,0.026682,0.054448,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Enterobacteriales(100),Enterobacteriaceae(100),Enterobacteriaceae_unclassified(100),
Otu00002,0.050728,0.004356,0.014758,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00003,0.071785,0.006972,0.018671,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Faecalibacterium(100),
Otu00011,0.021515,0.001261,0.007941,4.6e-05,0,4.6e-05,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Veillonellaceae(100),Megasphaera(100),
Otu00014,0.018206,0.000326,0.004039,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00015,0.027611,0.002405,0.010966,0,0,0,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pasteurellales(100),Pasteurellaceae(100),Gallibacterium(100),
Otu00019,0.027154,0.001826,0.009555,4.6e-05,0,4.6e-05,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00021,0.013504,0.00035,0.004183,0.000231,0,0.000231,0.000999,0.0274725,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Collinsella(100),
Otu00026,0.000375,1e-06,0.000186,0.044435,0.005125,0.023864,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiaceae_1(100),Clostridium_sensu_stricto(100),
Otu00030,0.015044,0.000411,0.004533,4.6e-05,0,4.6e-05,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00034,0.005701,4.3e-05,0.00146,4.6e-05,0,4.6e-05,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Ruminococcus2(100),
Otu00038,0.00697,0.000108,0.002327,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00042,0.007948,0.000247,0.003515,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Subdoligranulum(82),
Otu00046,0.004848,3.3e-05,0.00128,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00050,0.004619,5.7e-05,0.001694,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Acidaminococcaceae(100),Acidaminococcus(100),
Otu00061,4.2e-05,0,2.9e-05,0.015351,0.000499,0.007444,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Terrisporobacter(100),
Otu00066,0.002975,2.7e-05,0.001167,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00069,0,0,0,0.010034,0.000461,0.007153,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Lactococcus(100),
Otu00071,0.003496,0.000156,0.002791,0,0,0,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Aeromonadales(100),Succinivibrionaceae(100),Succinivibrio(100),
Otu00073,0.002643,1.3e-05,0.000817,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00074,0.002851,2.1e-05,0.001029,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Holdemanella(100),
Otu00075,0.002559,8e-06,0.000629,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Veillonellaceae(100),Mitsuokella(100),
Otu00076,0.002122,9e-06,0.00068,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00078,0.003329,9e-06,0.000676,0.00037,1e-06,0.000321,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Dorea(100),
Otu00080,0.003329,4.9e-05,0.001557,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Clostridium_XlVa(99),
Otu00081,0.003163,1.9e-05,0.000974,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(99),
Otu00084,0.002434,2.5e-05,0.001112,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00086,0.00231,1.6e-05,0.000896,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00087,0.00335,4.8e-05,0.001545,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(88),
Otu00091,0.002955,2.5e-05,0.001107,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00095,0.001831,5e-06,0.000481,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Blautia(100),
Otu00096,0.002497,6.9e-05,0.001853,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu00099,0,0,0,0.010912,0.000327,0.006028,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Enterococcaceae(100),Enterococcus(100),
Otu00103,0.001623,1.1e-05,0.000737,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(90),
Otu00112,0.001727,7e-06,0.000575,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00116,0.001436,3e-06,0.000401,4.6e-05,0,4.6e-05,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Clostridium_XlVa(89),
Otu00117,0.001124,3e-06,0.000398,0,0,0,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(100),Parasutterella(100),
Otu00120,0.001893,9e-06,0.00066,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_Incertae_Sedis_XIII(100),Mogibacterium(94),
Otu00133,0.002434,5.7e-05,0.001687,0,0,0,0.000999,0.0274725,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00139,0.00104,5e-06,0.000506,0,0,0,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Desulfovibrionales(100),Desulfovibrionaceae(100),Desulfovibrio(100),
Otu00142,0,0,0,0.004485,0.000177,0.004433,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Streptococcus(100),
Otu00157,0.000916,2e-06,0.000289,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Blautia(100),
Otu00165,0,0,0,0.002774,8e-06,0.000956,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Enterobacteriales(100),Enterobacteriaceae(100),Enterobacteriaceae_unclassified(90),
Otu00170,0.000562,1e-06,0.000244,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Veillonellaceae(100),Selenomonas(98),
Otu00206,0.000437,1e-06,0.000169,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Clostridium_XlVa(99),
Otu00210,0.000666,2e-06,0.000276,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00214,0,0,0,0.001526,1.5e-05,0.001279,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Lactococcus(100),
Otu00277,0.000499,2e-06,3e-04,0,0,0,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcus(100),
Otu00313,0,0,0,0.00111,2e-06,0.00051,0.000999,0.0274725,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Enterobacteriales(100),Enterobacteriaceae(100),Proteus(100),
Otu00346,0,0,0,0.000555,0,0.00023,0.000999,0.0274725,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiaceae_1(100),Clostridium_sensu_stricto(100),
Otu00007,0.028111,0.002021,0.010052,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(65),Clostridiales_unclassified(65),
Otu00009,0.016542,0.002445,0.011056,4.6e-05,0,4.6e-05,0.001998,0.0292260638297872,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00012,0.008822,0.000159,0.002815,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00016,0.000375,1e-06,0.000215,0.067924,0.005919,0.025645,0.001998,0.0292260638297872,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiaceae_1(100),Clostridium_sensu_stricto(100),
Otu00025,0.008261,4.7e-05,0.001534,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Acidaminococcaceae(100),Phascolarctobacterium(100),
Otu00031,0.009717,0.000351,0.00419,4.6e-05,0,4.6e-05,0.001998,0.0292260638297872,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00032,0.008593,0.000305,0.003903,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Sharpea(100),
Otu00035,0.011819,0.000414,0.004552,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Blautia(100),
Otu00047,0.002747,3e-05,0.001232,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Olsenella(100),
Otu00052,0.006138,0.000102,0.002254,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Blautia(100),
Otu00054,0.005389,0.000127,0.002522,0,0,0,0.001998,0.0292260638297872,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
